,Unnamed: 0,Words,Meanings,Trend
646,646.0,symbiosis,a mutually beneficial relationship,
647,647.0,syncopated,to cut short; to accent beats that are not usually accented,
648,648.0,tacit,unspoken and implied,
649,649.0,taciturn,silent; not willing to talk,
650,650.0,tawdry,gaudy and cheap,
651,651.0,temerity,fearless daring,
652,652.0,temperate,moderate; not extreme,
653,653.0,tenacious,unyielding; stubborn,
654,654.0,toady,a person who flatters others in order to gain personal favor; a brown-noser,
655,655.0,tome,"a long, heavy book",
656,656.0,torpid,sluggish; lacking energy,
657,657.0,transient,passing quickly or staying briefly,
658,658.0,treacly,overly sweet or sentimental,
659,659.0,trenchant,"keen, cutting, or energetic",
660,660.0,trite,repeated too often; over familiar through overuse,
661,661.0,truculence,brutal cruelty and aggressiveness,
662,662.0,truncated,shortened by cutting off a part,
663,663.0,turgid,pompous or swollen,
664,664.0,turpitude,"vile, shameful behavior",
665,665.0,tyro,a beginner,
666,666.0,ubiquitious,existing everywhere at once; omnipresent,
667,667.0,umbrage,offensive; displeasure,
668,668.0,unctuous,unpleasantly and excessively suave,
669,669.0,untenable,impossible to defend,
670,670.0,upbraid,to criticize severely,
671,671.0,usury,the practice of lending money at an extremely high interest rate,
672,672.0,vacillate,to waver or move back and forth,
673,673.0,vainglorious,feeling excessive self-importance or pride for one's own accomplishments,
674,674.0,venerated,highly respected,
675,675.0,veracity,honesty; truthfulness,
676,676.0,verbose,using or containing too many words,
677,677.0,verdant,green with color or green with inexperience,
678,678.0,verisimilitude,the appearance of truth; the quality of seeming to be true,
679,679.0,vestige,a small trace,
680,680.0,vicissitude,a change or variation,
681,681.0,vim,energy and enthusiasm; vitality,
682,682.0,virtuoso,a person who has mastered a certain skill or field,
683,683.0,viscous,sticky; thick,
684,684.0,vitiate,to make imperfect; to corrupt,
685,685.0,vitriolic,harsh or corrosive in tone,
686,686.0,vituperate,to use abusive language,
687,687.0,vociferous,marked by loud outcry,
688,688.0,voluble,talkative or fluent with words,
689,689.0,wane,to grow smaller,
690,690.0,wanton,unrestrained; immoral; unjustified,
691,691.0,whimsical,characterized by carefree impulses,
692,692.0,wily,sly and cunning,
693,693.0,wistful,expressing longing or yearning,
694,694.0,wizened,shriveled,
695,695.0,wraith,a ghost,
696,696.0,zealous,enthusiastic and devoted,
697,697.0,zenith,the highest point,
698,698.0,zephyr,a soft breeze,
abdicate,,,,17.057471264367816
aberrant,,,,21.32950191570881
abeyance,,,,11.590038314176246
abjure,,,,5.716475095785441
abstemioius,,,,0.0
abstruse,,,,1.789272030651341
accretion,,,,3.3831417624521074
acerbic,,,,2.4406130268199235
acidulous,,,,0.011494252873563218
acme,,,,70.75862068965517
acumen,,,,4.160919540229885
adroit,,,,1.6973180076628354
aerie,,,,12.045977011494253
aesthetic,,,,43.46743295019157
affable,,,,1.9693486590038314
affected,,,,44.96551724137931
aggrandize,,,,0.0038314176245210726
alacrity,,,,2.0766283524904217
alchemy,,,,41.1455938697318
amalgamation,,,,2.8735632183908044
ameliorate,,,,14.444444444444445
amenable,,,,15.126436781609195
amiable,,,,30.245210727969347
amortize,,,,4.559386973180077
amulet,,,,79.69348659003832
anachronistic,,,,18.344827586206897
analgesic,,,,73.99233716475096
anodyne,,,,27.56704980842912
anthropocentrism,,,,3.6475095785440614
antipathy,,,,21.157088122605366
apathy,,,,46.229885057471265
apocryphal,,,,9.0
apostate,,,,8.333333333333334
approbation,,,,11.865900383141762
archaic,,,,22.103448275862068
ardor,,,,69.63218390804597
arrogate,,,,1.7088122605363985
ascertain,,,,11.095785440613026
ascetic,,,,10.758620689655173
assail,,,,2.6704980842911876
assiduous,,,,7.540229885057471
assuage,,,,15.992337164750959
attenuate,,,,8.762452107279694
audacious,,,,26.977011494252874
augment,,,,40.689655172413794
augury,,,,0.0
august,,,,16.340996168582375
auspicious,,,,0.0
austere,,,,0.0
autonomy,,,,0.3065134099616858
avarice,,,,12.988505747126437
avuncular,,,,3.10727969348659
axiom,,,,57.35249042145594
banal,,,,25.82758620689655
belfry,,,,18.77777777777778
benevolent,,,,33.14942528735632
bevy,,,,6.084291187739463
bifurcate,,,,2.8237547892720305
bilk,,,,15.659003831417625
blight,,,,32.770114942528735
blithe,,,,6.911877394636015
bombast,,,,1.2452107279693487
bonhomie,,,,2.314176245210728
boor,,,,56.01149425287356
bromide,,,,31.49425287356322
bucolic,,,,2.1455938697318007
burgeon,,,,0.946360153256705
burnish,,,,1.0
byzantine,,,,13.81992337164751
cabal,,,,36.20306513409962
cacophony,,,,2.367816091954023
cajole,,,,1.1685823754789273
callous,,,,4.180076628352491
calumny,,,,0.9846743295019157
canard,,,,37.86973180076628
canonical,,,,73.85823754789271
cantankerous,,,,20.39463601532567
capricious,,,,48.3639846743295
cartographer,,,,19.36015325670498
castigate,,,,10.118773946360154
cataclysm,,,,1.3295019157088122
cathartic,,,,1.0
catholic,,,,60.98850574712644
caustic,,,,1.6015325670498084
cavalier,,,,10.57088122605364
censure,,,,20.053639846743295
charlatan,,,,10.226053639846743
chary,,,,6.6513409961685825
chicanery,,,,3.0689655172413794
churlish,,,,3.950191570881226
circumlocution,,,,5.865900383141763
circumscribed,,,,15.065134099616857
circumspect,,,,16.873563218390803
clandestine,,,,65.544061302682
cloying,,,,7.582375478927203
coalesce,,,,12.279693486590038
coffer,,,,5.252873563218391
cogent,,,,11.478927203065133
collusion,,,,14.812260536398467
conciliate,,,,0.7969348659003831
concomitant,,,,26.67049808429119
conflagaration,,,,0.210727969348659
conspicuous,,,,42.02681992337165
consummate,,,,28.78544061302682
contrite,,,,27.25287356321839
contumacious,,,,2.996168582375479
convoluted,,,,44.804597701149426
corpulent,,,,12.455938697318008
corroborate,,,,27.75862068965517
cosset,,,,5.413793103448276
coterie,,,,0.06896551724137931
craven,,,,4.448275862068965
crescendo,,,,2.521072796934866
culpable,,,,2.7777777777777777
cumbersome,,,,0.9923371647509579
cupidity,,,,3.111111111111111
curmudgeon,,,,13.32567049808429
cynical,,,,71.82758620689656
dalliance,,,,4.9655172413793105
daunt,,,,6.869731800766283
dearth,,,,27.578544061302683
debunk,,,,13.402298850574713
debutante,,,,65.19540229885058
declivity,,,,1.0191570881226053
decourous,,,,0.0421455938697318
deject,,,,0.0038314176245210726
deleterious,,,,2.739463601532567
delineate,,,,3.045977011494253
demagogue,,,,5.206896551724138
demarcate,,,,0.6590038314176245
demur,,,,1.0191570881226053
denigrate,,,,1.314176245210728
derelict,,,,5.486590038314176
deride,,,,1.9233716475095786
derivative,,,,56.9080459770115
desiccate,,,,1.4367816091954022
despoiler,,,,1.2260536398467432
despot,,,,24.517241379310345
destitute,,,,16.946360153256705
desultory,,,,5.624521072796935
diaphanous,,,,3.992337164750958
diatribe,,,,12.919540229885058
dictum,,,,14.32183908045977
didactic,,,,54.019157088122604
diffident,,,,6.061302681992337
dilatory,,,,11.10344827586207
dilettante,,,,40.03448275862069
dirge,,,,39.44827586206897
disabuse,,,,4.934865900383142
discern,,,,63.229885057471265
disdain,,,,68.02681992337165
disenfranchise,,,,3.6628352490421454
disillusion,,,,10.425287356321839
disingenuous,,,,42.21455938697318
disparage,,,,24.99616858237548
disparate,,,,28.2183908045977
dissembler,,,,0.578544061302682
disseminate,,,,21.103448275862068
dissonance,,,,59.78544061302682
distaff,,,,2.743295019157088
dither,,,,0.9885057471264368
diurnal,,,,1.7318007662835249
divert,,,,4.057471264367816
divine,,,,61.95402298850575
doctrinaire,,,,0.0
dogmatic,,,,8.954022988505747
draconian,,,,8.632183908045977
droll,,,,5.873563218390805
dubious,,,,17.547892720306514
dupe,,,,74.55938697318008
dyspeptic,,,,0.6896551724137931
earnest,,,,29.915708812260537
ebullient,,,,2.1340996168582373
eclectic,,,,20.28352490421456
edify,,,,2.835249042145594
efficacious,,,,10.915708812260537
effigy,,,,29.67816091954023
effrontery,,,,3.6973180076628354
effusive,,,,12.360153256704981
egalitarian,,,,39.97318007662835
egregious,,,,31.21455938697318
elegy,,,,49.68199233716475
elicit,,,,29.78927203065134
eloquent,,,,59.42911877394636
elucidate,,,,18.32950191570881
embroil,,,,0.524904214559387
eminent,,,,38.50191570881226
emissary,,,,9.513409961685824
emollient,,,,8.183908045977011
empirical,,,,63.32950191570881
emulate,,,,77.79693486590038
encomium,,,,5.172413793103448
endemic,,,,69.3103448275862
enervated,,,,2.6091954022988504
engender,,,,15.471264367816092
enigma,,,,52.56704980842912
ennui,,,,4.32183908045977
enumerate,,,,6.007662835249042
ephemeral,,,,5.873563218390805
epicure,,,,5.203065134099617
epistolary,,,,4.091954022988506
equanimity,,,,10.762452107279694
equivocal,,,,9.164750957854405
ersatz,,,,78.2375478927203
erudition,,,,3.2298850574712645
eschew,,,,2.1800766283524906
esoteric,,,,10.632183908045977
espouse,,,,1.1532567049808429
ethos,,,,29.957854406130267
eulogy,,,,11.448275862068966
euphemism,,,,70.06513409961686
euphony,,,,6.731800766283525
evanescent,,,,10.03831417624521
exacerbate,,,,32.95402298850575
exasperate,,,,7.697318007662835
exculpate,,,,1.3065134099616857
exegesis,,,,8.628352490421456
exigent,,,,4.440613026819923
exonerate,,,,4.827586206896552
exorbitant,,,,7.011494252873563
expatriate,,,,17.862068965517242
explicator,,,,0.0
explicit,,,,76.01149425287356
exponent,,,,39.90421455938697
expurgate,,,,0.3716475095785441
extemporaneous,,,,16.157088122605366
extol,,,,22.088122605363985
extraneous,,,,30.39080459770115
exuberant,,,,27.160919540229884
facetious,,,,68.42528735632185
fallacy,,,,69.32183908045977
fallible,,,,3.8007662835249043
fallow,,,,23.938697318007662
fastidious,,,,13.547892720306514
fatuous,,,,4.885057471264368
fawn,,,,3.6475095785440614
fecund,,,,0.007662835249042145
felicity,,,,8.946360153256705
fervid,,,,0.0
fetid,,,,0.007662835249042145
flippant,,,,49.97318007662835
flotsam,,,,45.206896551724135
foible,,,,7.67816091954023
fomentation,,,,4.681992337164751
foppish,,,,4.78544061302682
ford,,,,74.33716475095785
formidable,,,,0.06513409961685823
fortuitous,,,,0.0
foster,,,,6.758620689655173
fractious,,,,0.0
frenetic,,,,5.704980842911877
frivolous,,,,22.32950191570881
frugal,,,,59.01149425287356
fulminate,,,,2.3448275862068964
furtive,,,,9.528735632183908
gambol,,,,0.29118773946360155
garner,,,,10.68199233716475
garrulous,,,,0.0
genial,,,,1.7701149425287357
germane,,,,0.0038314176245210726
glib,,,,27.68199233716475
glower,,,,12.85823754789272
gradation,,,,26.11111111111111
gratuitous,,,,22.739463601532567
gregarious,,,,41.81609195402299
grievous,,,,18.444444444444443
grovel,,,,3.1264367816091956
guile,,,,15.363984674329503
gustatory,,,,3.4559386973180075
hackneyed,,,,3.578544061302682
halcyon,,,,23.260536398467433
hapless,,,,2.7088122605363987
harangue,,,,2.3831417624521074
hedonist,,,,7.045977011494253
hegemony,,,,14.333333333333334
heretical,,,,1.9157088122605364
hermetic,,,,5.685823754789272
histrionic,,,,7.394636015325671
hoary,,,,2.10727969348659
hubris,,,,18.708812260536398
husband,,,,75.01149425287356
iconoclast,,,,0.0
idiosyncrasy,,,,0.0
idolatrious,,,,0.0
ignoble,,,,0.0
ignominious,,,,5.0344827586206895
illusory,,,,8.10344827586207
imbue,,,,5.789272030651341
immutable,,,,26.057471264367816
impasse,,,,70.31800766283524
impecunious,,,,8.954022988505747
imperturbable,,,,6.873563218390805
impervious,,,,44.73180076628353
impetuous,,,,44.333333333333336
impious,,,,6.475095785440613
implacable,,,,13.049808429118775
implicit,,,,34.122605363984675
imprecation,,,,0.7931034482758621
impugn,,,,1.0651340996168583
impute,,,,2.1762452107279695
incarnadine,,,,0.08045977011494253
inchoate,,,,3.2528735632183907
incipient,,,,4.256704980842912
incontrovertible,,,,1.3601532567049808
incorrigible,,,,6.831417624521073
incredulous,,,,2.4827586206896552
inculcate,,,,1.0421455938697317
indigenous,,,,24.11111111111111
indignant,,,,2.2873563218390807
indolent,,,,1.9003831417624522
ineffable,,,,32.337164750957854
inerlocutor,,,,0.0
inexorable,,,,32.86973180076628
ingenious,,,,67.42528735632185
ingenue,,,,17.911877394636015
ingrate,,,,1.0076628352490422
ingratiate,,,,0.7547892720306514
inherent,,,,11.10727969348659
inimical,,,,1.0459770114942528
iniquity,,,,2.0727969348659006
innocuous,,,,1.003831417624521
insidious,,,,11.333333333333334
insipid,,,,0.5478927203065134
insolence,,,,0.946360153256705
insular,,,,1.89272030651341
insurrection,,,,0.01532567049808429
inter,,,,43.59003831417625
interregnum,,,,0.0
intractable,,,,0.0038314176245210726
intransigent,,,,0.0
inundate,,,,1.6168582375478928
inure,,,,2.0383141762452106
invective,,,,3.8697318007662833
inveigle,,,,1.0766283524904214
investiture,,,,6.961685823754789
invidious,,,,4.256704980842912
invoke,,,,61.030651340996165
irascible,,,,10.490421455938698
itinerant,,,,11.60536398467433
jettison,,,,6.126436781609195
jingoism,,,,1.417624521072797
jocular,,,,0.7816091954022989
jucture,,,,0.0
juxtapose,,,,1.8160919540229885
keen,,,,55.229885057471265
kindle,,,,39.616858237547895
kinetic,,,,8.938697318007662
knell,,,,0.022988505747126436
lachrymose,,,,0.0
laconic,,,,0.03065134099616858
lament,,,,19.513409961685824
lampoon,,,,12.042145593869732
languid,,,,3.1340996168582373
lapidary,,,,3.425287356321839
largess,,,,0.7279693486590039
lassitude,,,,4.268199233716475
latent,,,,59.84674329501916
laud,,,,20.915708812260537
lavish,,,,45.89655172413793
legerdemain,,,,1.8045977011494252
levity,,,,9.53256704980843
lexicography,,,,1.0229885057471264
liberate,,,,11.432950191570882
libertine,,,,47.73180076628353
licentious,,,,2.89272030651341
limpid,,,,0.9770114942528736
lissome,,,,0.06896551724137931
listless,,,,1.6781609195402298
loquacious,,,,3.3295019157088124
lucid,,,,39.04980842911878
lugubrious,,,,3.8697318007662833
luminous,,,,69.70498084291188
machination,,,,1.1111111111111112
maelstrom,,,,13.432950191570882
magnanimous,,,,10.291187739463602
magnate,,,,7.237547892720307
malediction,,,,3.0383141762452106
malevolent,,,,9.222222222222221
malice,,,,39.70498084291188
malinger,,,,1.2222222222222223
malleable,,,,0.06130268199233716
malodorous,,,,0.0
mar,,,,71.183908045977
martial,,,,7.839080459770115
martinet,,,,0.06896551724137931
matriarch,,,,1.5134099616858236
maudlin,,,,1.103448275862069
maverick,,,,39.62068965517241
melange,,,,10.659003831417625
mendacious,,,,0.8160919540229885
mendicant,,,,1.2873563218390804
mercurial,,,,57.37931034482759
meretricious,,,,1.0306513409961686
meritocracy,,,,5.003831417624521
meticulous,,,,9.517241379310345
militate,,,,1.628352490421456
mirth,,,,19.724137931034484
misanthrope,,,,21.655172413793103
miscreant,,,,4.540229885057471
miser,,,,32.31417624521073
missive,,,,11.061302681992338
mitigate,,,,64.61685823754789
mollify,,,,5.624521072796935
molt,,,,36.71264367816092
monastic,,,,12.432950191570882
morass,,,,2.268199233716475
moratorium,,,,14.865900383141762
mores,,,,15.31800766283525
morose,,,,8.766283524904214
multifarious,,,,1.4444444444444444
mundane,,,,15.203065134099617
munificent,,,,1.049808429118774
myopic,,,,8.279693486590038
nadir,,,,53.160919540229884
naive,,,,50.42911877394636
narcissist,,,,32.56704980842912
nascent,,,,4.597701149425287
nebulous,,,,5.616858237547893
nefarious,,,,4.398467432950191
neologism,,,,1.1264367816091954
neophyte,,,,3.4904214559386975
nettle,,,,16.957854406130267
nihilism,,,,10.582375478927203
noisome,,,,0.26436781609195403
nominal,,,,74.47892720306514
noxious,,,,6.252873563218391
nuance,,,,34.35632183908046
numismatic,,,,2.1149425287356323
obdurate,,,,2.3026819923371646
obfuscate,,,,4.371647509578544
oblique,,,,63.20306513409962
obscure,,,,51.099616858237546
obsequious,,,,11.482758620689655
obstinate,,,,15.03448275862069
obstreperous,,,,3.89272030651341
obstructionist,,,,0.8888888888888888
obtuse,,,,70.89655172413794
obviate,,,,8.685823754789272
occlude,,,,2.6398467432950192
odious,,,,16.796934865900383
officious,,,,4.183908045977011
ominous,,,,40.842911877394634
onerous,,,,14.14176245210728
opaque,,,,82.60536398467433
opine,,,,11.78544061302682
opprobrium,,,,8.551724137931034
opulent,,,,39.559386973180075
oration,,,,17.808429118773947
ornate,,,,71.65134099616859
orotund,,,,1.3218390804597702
orthodox,,,,44.1992337164751
ossify,,,,0.27586206896551724
ostensible,,,,1.3984674329501916
overt,,,,4.513409961685824
overwrought,,,,0.19540229885057472
pacify,,,,16.18007662835249
paean,,,,6.984674329501916
palatial,,,,4.528735632183908
palliate,,,,1.3026819923371646
pallid,,,,6.137931034482759
panacea,,,,1.950191570881226
panache,,,,2.099616858237548
panegyric,,,,0.0
panoply,,,,0.03065134099616858
paradox,,,,11.28352490421456
paragon,,,,54.95785440613027
parenthetical,,,,2.2375478927203063
pariah,,,,3.467432950191571
parley,,,,19.203065134099617
parody,,,,50.45593869731801
parry,,,,39.969348659003835
parsimonious,,,,3.3026819923371646
partisan,,,,13.191570881226054
pastiche,,,,4.517241379310345
patriarch,,,,6.743295019157088
paucity,,,,4.716475095785441
peccadillo,,,,0.9042145593869731
pedagogical,,,,7.440613026819923
pedantic,,,,14.340996168582375
pejorative,,,,6.57088122605364
penchant,,,,38.015325670498086
penitent,,,,26.38314176245211
penurious,,,,4.310344827586207
peregrinate,,,,1.8237547892720307
perfidious,,,,13.636015325670497
perfunctory,,,,3.735632183908046
peripatetic,,,,2.9655172413793105
permeate,,,,3.3065134099616857
pernicious,,,,14.210727969348659
perquisite,,,,0.9770114942528736
perspicacity,,,,7.605363984674329
peruse,,,,23.666666666666668
pervasive,,,,64.89655172413794
petulant,,,,29.291187739463602
phalanx,,,,55.969348659003835
philanthropist,,,,27.18773946360153
philistine,,,,7.85823754789272
phlegmatic,,,,6.78544061302682
picayune,,,,28.842911877394634
pious,,,,20.444444444444443
pith,,,,10.494252873563218
pithy,,,,5.030651340996169
placid,,,,46.41379310344828
platitude,,,,3.7701149425287355
plebeian,,,,3.1762452107279695
plethora,,,,35.31417624521073
pliant,,,,44.29501915708812
plucky,,,,6.796934865900383
polemical,,,,4.9272030651340994
politic,,,,39.01149425287356
polyglot,,,,4.911877394636015
populist,,,,6.137931034482759
posit,,,,3.3486590038314175
potentate,,,,0.9348659003831418
pragmatic,,,,21.49425287356322
prattle,,,,5.42911877394636
precipitate,,,,64.1800766283525
precis,,,,60.122605363984675
precocious,,,,53.11877394636015
predilection,,,,16.28352490421456
prescience,,,,3.264367816091954
pretense,,,,12.766283524904214
prevaricate,,,,4.762452107279693
pristine,,,,69.85057471264368
probity,,,,8.160919540229886
proclivity,,,,0.0
prodigal,,,,1.1149425287356323
prodigy,,,,20.620689655172413
profligate,,,,0.0
progenitor,,,,0.0
proletarian,,,,7.302681992337165
proliferate,,,,20.24904214559387
propensity,,,,71.59770114942529
propitiate,,,,4.758620689655173
propriety,,,,29.57088122605364
prosaic,,,,0.0
proselytize,,,,0.0
provincial,,,,37.900383141762454
prudent,,,,1.1839080459770115
puerile,,,,0.0038314176245210726
pugilist,,,,5.053639846743295
pugnacious,,,,5.567049808429119
pulchritude,,,,2.4980842911877397
punctilious,,,,2.5134099616858236
pundit,,,,45.076628352490424
pungent,,,,30.114942528735632
pusillanimous,,,,11.544061302681992
putrefy,,,,1.3639846743295019
quaff,,,,13.21455938697318
quell,,,,53.68582375478927
querulous,,,,3.5938697318007664
quiescent,,,,7.777777777777778
quixotic,,,,10.659003831417625
quotidian,,,,6.647509578544061
raconteur,,,,5.842911877394636
raiment,,,,4.180076628352491
rancorous,,,,1.1417624521072798
raucous,,,,5.9655172413793105
raze,,,,45.053639846743295
rebuke,,,,18.57088122605364
rebut,,,,27.835249042145595
recalcitrant,,,,36.57471264367816
recondite,,,,12.226053639846743
redoubtable,,,,4.35632183908046
redress,,,,53.923371647509576
refulgent,,,,0.842911877394636
refute,,,,16.11111111111111
rejoinder,,,,2.5440613026819925
relegate,,,,3.0613026819923372
remiss,,,,12.183908045977011
remuneration,,,,74.95019157088123
renounce,,,,15.222222222222221
repast,,,,4.839080459770115
replete,,,,7.586206896551724
repose,,,,47.593869731800766
reprehensible,,,,11.260536398467433
reproach,,,,20.310344827586206
repudiate,,,,14.701149425287356
repugnant,,,,14.567049808429118
requite,,,,2.7011494252873565
rescind,,,,8.203065134099617
restive,,,,1.3793103448275863
reticent,,,,7.482758620689655
revere,,,,61.7088122605364
reviler,,,,0.007662835249042145
rhapsodize,,,,0.019157088122605363
rhetoric,,,,40.32183908045977
ribald,,,,1.7777777777777777
rococo,,,,33.8007662835249
sacrosanct,,,,4.950191570881226
sagacious,,,,0.9693486590038314
sage,,,,82.5095785440613
salient,,,,4.329501915708812
salubrious,,,,0.4061302681992337
sanctimonious,,,,1.0344827586206897
sanguine,,,,39.60536398467433
sardonic,,,,10.919540229885058
satiate,,,,3.2758620689655173
schism,,,,16.908045977011493
scintillating,,,,6.7011494252873565
scoff,,,,5.149425287356322
scrupulous,,,,4.088122605363985
sedition,,,,17.00383141762452
sedulous,,,,1.103448275862069
sentient,,,,13.39080459770115
seraphic,,,,18.78544061302682
sibilant,,,,21.701149425287355
sinecure,,,,25.53639846743295
slake,,,,45.60153256704981
sobriquet,,,,38.524904214559385
solecism,,,,1.0076628352490422
solicitious,,,,0.0
solvent,,,,73.77011494252874
somnolent,,,,2.8544061302681993
sonorous,,,,3.8697318007662833
sophistry,,,,0.9923371647509579
soporific,,,,0.9501915708812261
Spartan,,,,61.0
specious,,,,1.264367816091954
sportive,,,,36.770114942528735
spurious,,,,22.0
squalid,,,,4.471264367816092
stasis,,,,35.934865900383144
stentorian,,,,2.160919540229885
stevedore,,,,4.157088122605364
stifle,,,,7.89272030651341
stigma,,,,66.39080459770115
stoic,,,,27.06513409961686
stolid,,,,2.5172413793103448
stricture,,,,11.666666666666666
stultify,,,,0.0038314176245210726
stymie,,,,0.9616858237547893
sublime,,,,75.80459770114942
subterfuge,,,,2.0306513409961684
subtle,,,,19.340996168582375
subversive,,,,1.0076628352490422
succinct,,,,1.0114942528735633
sully,,,,10.21455938697318
supercilious,,,,0.41762452107279696
superfluous,,,,1.0459770114942528
supplant,,,,7.130268199233717
surfeit,,,,6.804597701149425
surly,,,,68.72030651340997
surreptitious,,,,11.157088122605364
sybarite,,,,4.157088122605364
sycophant,,,,10.14176245210728
symbiosis,,,,38.68582375478927
syncopated,,,,1.7049808429118773
tacit,,,,12.88888888888889
taciturn,,,,7.494252873563219
tawdry,,,,3.0153256704980844
temerity,,,,4.793103448275862
temperate,,,,30.20689655172414
tenacious,,,,46.616858237547895
toady,,,,5.068965517241379
tome,,,,84.77394636015326
torpid,,,,0.5823754789272031
transient,,,,19.99616858237548
treacly,,,,0.0038314176245210726
trenchant,,,,0.7586206896551724
trite,,,,25.63984674329502
truculence,,,,1.0153256704980842
truncated,,,,31.762452107279692
turgid,,,,8.773946360153257
turpitude,,,,9.862068965517242
tyro,,,,13.524904214559387
ubiquitious,,,,0.9961685823754789
umbrage,,,,9.191570881226054
unctuous,,,,7.647509578544061
untenable,,,,13.329501915708812
upbraid,,,,6.75095785440613
usury,,,,52.371647509578544
vacillate,,,,30.839080459770116
vainglorious,,,,8.885057471264368
venerated,,,,18.04597701149425
veracity,,,,12.666666666666666
verbose,,,,19.95402298850575
verdant,,,,11.509578544061302
verisimilitude,,,,4.149425287356322
vestige,,,,32.44827586206897
vicissitude,,,,0.9808429118773946
vim,,,,86.65517241379311
virtuoso,,,,10.337164750957854
viscous,,,,8.839080459770114
vitiate,,,,1.2720306513409962
vitriolic,,,,7.160919540229885
vituperate,,,,0.9501915708812261
vociferous,,,,7.35632183908046
voluble,,,,7.126436781609195
wane,,,,52.52107279693487
wanton,,,,43.18773946360153
whimsical,,,,55.88122605363985
wily,,,,43.83141762452107
wistful,,,,15.597701149425287
wizened,,,,4.448275862068965
wraith,,,,20.96934865900383
zealous,,,,5.417624521072797
zenith,,,,68.90421455938697
zephyr,,,,24.513409961685824
